deal_id,announcement_date,acquirer_name,acquirer_cik,acquirer_sic,target_name,target_cik,target_sic,sector,disclosed_synergy_usd,synergy_type,acquirer_sga,acquirer_cogs,target_sga,target_cogs,combined_sga,combined_cogs,acquirer_revenue,target_revenue,combined_revenue,acquirer_fy,target_fy,source_quote,source_url
0000950123-11-099415,2011-11-18,EXPRESS SCRIPTS INC,885721,5912,MEDCO HEALTH SOLUTIONS INC,1170650,5912,retail,1100000000.0,unspecified,887300000.0,42015000000.0,1550400000.0,61633200000.0,2437700000.0,103648200000.0,44973200000.0,65968300000.0,110941500000.0,2010,2010,synergies of $1.1 billion,https://www.sec.gov/Archives/edgar/data/885721/000095012311099415/c66143dexv99w1.htm
0001193125-11-338304,2011-12-12,MARTIN MARIETTA MATERIALS INC,916076,1400,Vulcan Materials CO,1396009,1400,unknown,250000000.0,unspecified,133230000.0,1460906000.0,327537000.0,2258136000.0,460767000.0,3719042000.0,1782857000.0,2558862000.0,4341719000.0,2010,2010,$250 million in annual synergies,https://www.sec.gov/Archives/edgar/data/916076/000119312511338304/d268786d425.htm
0001193125-11-342562,2011-12-15,LAM RESEARCH CORP,707549,3559,NOVELLUS SYSTEMS INC,836106,3559,industrial_machinery,100000000.0,cost,308075000.0,1740461000.0,189483000.0,683824000.0,497558000.0,2424285000.0,3237693000.0,1349158000.0,4586851000.0,2011,2010,$100 million in cost synergies,https://www.sec.gov/Archives/edgar/data/707549/000119312511342562/d271974dex995.htm
0001193125-12-026505,2012-01-27,EASTMAN CHEMICAL CO,915389,2821,SOLUTIA INC,1043382,2800,pharma_chemicals,100000000.0,unspecified,431000000.0,4368000000.0,261000000.0,1342000000.0,692000000.0,5710000000.0,,1950000000.0,,2010,2010,synergies of approximately $100 million,https://www.sec.gov/Archives/edgar/data/915389/000119312512026505/d290397dex991.htm
0001193125-12-306848,2012-07-19,GEORGIA GULF CORP /DE/,805264,2821,PPG INDUSTRIES INC,79879,2851,pharma_chemicals,115000000.0,cost,168221000.0,2919625000.0,3234000000.0,9081000000.0,3402221000.0,12000625000.0,3222884000.0,14885000000.0,18107884000.0,2011,2011,$115 million in annual cost synergies,https://www.sec.gov/Archives/edgar/data/79879/000119312512306848/d381829dex992.htm
0001193125-12-432287,2012-10-24,POLYONE CORP,1122976,2821,SPARTECH CORP,77597,3080,rubber_plastics,65000000.0,unspecified,381700000.0,2400800000.0,74320000.0,1004928000.0,456020000.0,3405728000.0,,,,2011,2011,synergies of approximately $65 million,https://www.sec.gov/Archives/edgar/data/77597/000119312512432287/d426591d425.htm
0000898822-12-000588,2012-10-31,PVH CORP. /DE/,78239,2320,WARNACO GROUP INC /DE/,801351,2340,apparel,100000000.0,cost,2481370000.0,2834735000.0,844696000.0,1412466000.0,3326066000.0,4247201000.0,5890624000.0,,,2012,2011,$100 million of expense synergies,https://www.sec.gov/Archives/edgar/data/78239/000089882212000588/presss425.htm
0001193125-13-067261,2013-02-20,OFFICE DEPOT INC,800240,5940,OFFICEMAX INC,12978,5110,wholesale,600000000.0,cost,672827000.0,7448067000.0,1690967000.0,5311987000.0,2363794000.0,12760054000.0,10695652000.0,7121167000.0,17816819000.0,2012,2011,$600 million in annual cost synergies,https://www.sec.gov/Archives/edgar/data/12978/000119312513067261/d489975d425.htm
0001193125-13-112490,2013-03-18,PALOMAR MEDICAL TECHNOLOGIES INC,881695,3845,CYNOSURE INC,885306,3845,instruments,10000000.0,unspecified,10889034.0,6208221.0,14910000.0,64567000.0,25799034.0,70775221.0,80573235.0,153493000.0,234066235.0,2012,2012,$10 million in projected synergies,https://www.sec.gov/Archives/edgar/data/881695/000119312513112490/d503633dex993.htm
0001104659-13-029126,2013-04-15,DISH Network CORP,1001082,4841,SPRINT NEXTEL CORP,101830,4813,telecom,1800000000.0,cost,1283697000.0,1687327000.0,9765000000.0,20841000000.0,11048697000.0,22528327000.0,14266492000.0,35345000000.0,49611492000.0,2012,2012,$1.8 billion in annual run-rate cost synergies,https://www.sec.gov/Archives/edgar/data/1001082/000110465913029126/a13-10108_1ex99d1.htm
0001140361-13-017022,2013-04-22,CECO ENVIRONMENTAL CORP,3197,3564,MET PRO CORP,65201,3564,industrial_machinery,9000000.0,cost,25429000.0,92609000.0,25909212.0,72154899.0,51338212.0,164763899.0,135052000.0,,,2012,2013,$9 million in annual cost synergies,https://www.sec.gov/Archives/edgar/data/65201/000114036113017022/ex99_2.htm
0001193125-13-292069,2013-07-17,UNITED RENTALS INC /DE,1067701,7359,CIK 1047166,1047166,,software_services,250000000.0,cost,588000000.0,2530000000.0,588000000.0,2530000000.0,1176000000.0,5060000000.0,4117000000.0,4117000000.0,8234000000.0,2012,2012,$250 million of annual cost synergies,https://www.sec.gov/Archives/edgar/data/1067701/000119312513292069/d568205dex991.htm
0001193125-14-063841,2014-02-24,RF MICRO DEVICES INC,911160,3674,TRIQUINT SEMICONDUCTOR INC,913885,3674,electronics,150000000.0,cost,64242000.0,658332000.0,108410000.0,635194000.0,172652000.0,1293526000.0,964147000.0,892879000.0,1857026000.0,2013,2013,$150 million in cost synergies,https://www.sec.gov/Archives/edgar/data/913885/000119312514063841/d681010dex992.htm
0001193125-14-155810,2014-04-24,ZIMMER HOLDINGS INC,1136869,3842,"LVB Acquisition, Inc.",1402366,3842,instruments,270000000.0,unspecified,1833800000.0,1286100000.0,1189400000.0,996500000.0,3023200000.0,2282600000.0,,3052900000.0,,2013,2013,$270 million of net annual operating earnings synergies,https://www.sec.gov/Archives/edgar/data/1136869/000119312514155810/d713847dex992.htm
0000950157-14-000421,2014-04-30,ALLIANT TECHSYSTEMS INC,866121,3760,ORBITAL SCIENCES CORP /DE/,820736,3663,electronics,100000000.0,cost,244189000.0,3421276000.0,100027000.0,1062466000.0,344216000.0,4483742000.0,4362145000.0,1365271000.0,5727416000.0,2013,2013,$100 million in cost synergies,https://www.sec.gov/Archives/edgar/data/820736/000095015714000421/form425.htm
0001193125-14-193693,2014-05-12,Hillshire Brands Co,23666,2000,Pinnacle Foods Inc.,1564822,2000,food_beverage,140000000.0,cost,855000000.0,2758000000.0,119790000.0,1809553000.0,974790000.0,4567553000.0,3920000000.0,2463802000.0,6383802000.0,2013,2013,$140 million in cost synergies,https://www.sec.gov/Archives/edgar/data/23666/000119312514193693/d723906dex992.htm
0001104659-14-046280,2014-06-16,LEVEL 3 COMMUNICATIONS INC,794323,4813,tw telecom inc.,1057758,4813,telecom,2200000000.0,unspecified,2376000000.0,2471000000.0,392132000.0,658080000.0,2768132000.0,3129080000.0,6313000000.0,1563901000.0,7876901000.0,2013,2013,synergies of $2.2 billion,https://www.sec.gov/Archives/edgar/data/1057758/000110465914046280/a14-15513_2425.htm
0001193125-14-237008,2014-06-16,MEDTRONIC INC,64670,3845,Covidien plc,1385187,3841,instruments,850000000.0,cost,5698000000.0,4126000000.0,3340000000.0,4150000000.0,9038000000.0,8276000000.0,16590000000.0,,,2013,2013,$850 million of annual pre-tax cost synergies,https://www.sec.gov/Archives/edgar/data/1385187/000119312514237008/d741817dex991.htm
0001171843-14-003055,2014-06-30,"Consolidated Communications Holdings, Inc.",1304421,4813,Enventis Corp,766561,4813,telecom,14000000.0,unspecified,135414000.0,222452000.0,28759000.0,67847000.0,164173000.0,290299000.0,601577000.0,189200000.0,790777000.0,2013,2013,synergies of approximately $14.0 million,https://www.sec.gov/Archives/edgar/data/1304421/000117184314003055/exh_991.htm
0001104659-14-051436,2014-07-14,AECOM TECHNOLOGY CORP,868857,8711,URS CORP /NEW/,102379,8711,professional_services,250000000.0,unspecified,-97318000.0,7703507000.0,-77500000.0,-10416000000.0,-174818000.0,-2712493000.0,,,,2013,2014,$250 million in annual cost-saving synergies,https://www.sec.gov/Archives/edgar/data/868857/000110465914051436/a14-17068_1ex99d2.htm
0001193125-14-269319,2014-07-15,REYNOLDS AMERICAN INC,1275283,2111,"LORILLARD, INC.",1424847,2111,unknown,800000000.0,unspecified,1389000000.0,3678000000.0,665000000.0,4231000000.0,2054000000.0,7909000000.0,8236000000.0,6950000000.0,15186000000.0,2013,2013,$800 million of run rate synergies,https://www.sec.gov/Archives/edgar/data/1424847/000119312514269319/d758179d425.htm
0001104659-14-051654,2014-07-15,ALBEMARLE CORP,915913,2821,"Rockwood Holdings, Inc.",1315695,2800,pharma_chemicals,100000000.0,cost,162889000.0,1755011000.0,401800000.0,759800000.0,564689000.0,2514811000.0,2616416000.0,1377800000.0,3994216000.0,2013,2013,$100 million in annual cost synergies,https://www.sec.gov/Archives/edgar/data/1315695/000110465914051654/a14-17054_2ex99d1.htm
0000935703-14-000034,2014-07-28,DOLLAR TREE INC,935703,5331,FAMILY DOLLAR STORES INC,34408,5331,retail,300000000.0,unspecified,1819500000.0,5050500000.0,2866788000.0,6836712000.0,4686288000.0,11887212000.0,,,,2014,2013,$300 million of annual run-rate synergies,https://www.sec.gov/Archives/edgar/data/935703/000093570314000034/presentationfinalv4.htm
0001193125-14-364186,2014-10-06,BECTON DICKINSON & CO,10795,3841,CAREFUSION Corp,1457543,3841,instruments,250000000.0,cost,2422000000.0,3883000000.0,1061000000.0,1934000000.0,3483000000.0,5817000000.0,8054000000.0,3842000000.0,11896000000.0,2013,2014,$250 million of annual run-rate cost synergies,https://www.sec.gov/Archives/edgar/data/10795/000119312514364186/d800483dex997.htm
0001193125-14-415370,2014-11-17,HALLIBURTON CO,45012,1389,BAKER HUGHES INC,808362,3533,industrial_machinery,2000000000.0,cost,333000000.0,18959000000.0,1306000000.0,12621000000.0,1639000000.0,31580000000.0,29402000000.0,22364000000.0,51766000000.0,2013,2013,$2 billion of annual cost synergies,https://www.sec.gov/Archives/edgar/data/45012/000119312514415370/d822472dex999.htm
0001193125-14-429566,2014-12-01,CYPRESS SEMICONDUCTOR CORP /DE/,791915,3674,Spansion Inc.,1322705,3674,electronics,135000000.0,cost,182671000.0,384121000.0,178265000.0,719062000.0,360936000.0,1103183000.0,722693000.0,971690000.0,1694383000.0,2013,2013,$135 million in cost synergies,https://www.sec.gov/Archives/edgar/data/1322705/000119312514429566/d828825dex991.htm
0001193125-14-432165,2014-12-03,Tornier N.V.,1492658,3842,WRIGHT MEDICAL GROUP INC,1137861,3842,instruments,40000000.0,unspecified,206851000.0,86172000.0,230785000.0,59721000.0,437636000.0,145893000.0,310959000.0,,,2013,2013,synergies of $40 million,https://www.sec.gov/Archives/edgar/data/1137861/000119312514432165/d831945d425.htm
0001104659-15-006462,2015-02-04,STAPLES INC,791519,5940,OFFICE DEPOT INC,800240,5940,retail,1000000000.0,cost,4735294000.0,17081978000.0,2560000000.0,8616000000.0,7295294000.0,25697978000.0,23114263000.0,11242000000.0,34356263000.0,2014,2013,$1 billion of annualized cost synergies,https://www.sec.gov/Archives/edgar/data/791519/000110465915006462/a15-3714_1ex99d1.htm
0001193125-15-075802,2015-03-04,MITEL NETWORKS CORP,1170534,3663,MAVENIR SYSTEMS INC,1361470,3576,industrial_machinery,20000000.0,unspecified,344700000.0,513900000.0,23351000.0,58849000.0,368051000.0,572749000.0,1104000000.0,129795000.0,1233795000.0,2014,2014,$20 million of synergies,https://www.sec.gov/Archives/edgar/data/1361470/000119312515075802/d882777d425.htm
0001193125-15-167416,2015-05-04,CECO ENVIRONMENTAL CORP,3197,3564,"PMFG, Inc.",1422862,3569,industrial_machinery,15000000.0,cost,51440000.0,178394000.0,20714000.0,94754000.0,72154000.0,273148000.0,263217000.0,,,2014,2014,$15 million in annual cost synergies,https://www.sec.gov/Archives/edgar/data/3197/000119312515167416/d918028dex992.htm
0001193125-15-191006,2015-05-18,"Ascena Retail Group, Inc.",1498301,5600,ANN INC.,874214,5621,retail,150000000.0,cost,-1376300000.0,-2130600000.0,1161838000.0,1242506000.0,-214462000.0,-888094000.0,,2533460000.0,,2014,2015,$150mm in estimated annual run-rate cost synergies,https://www.sec.gov/Archives/edgar/data/1498301/000119312515191006/d928031dex991.htm
0001193125-15-204414,2015-05-28,Avago Technologies LTD,1441634,3674,BROADCOM CORP,1054374,3674,electronics,750000000.0,cost,407000000.0,2392000000.0,716000000.0,4098000000.0,1123000000.0,6490000000.0,4269000000.0,8428000000.0,12697000000.0,2014,2014,$750 million of run rate cost synergies,https://www.sec.gov/Archives/edgar/data/1054374/000119312515204414/d935187dex998.htm
0001193125-15-223510,2015-06-15,STANDARD PACIFIC CORP /DE/,878560,1531,RYLAND GROUP INC,85974,1531,unknown,70000000.0,cost,-275861000.0,-1792795000.0,289029000.0,2007644000.0,13168000.0,214849000.0,,2615069000.0,,2014,2014,$70 million in cost synergies,https://www.sec.gov/Archives/edgar/data/85974/000119312515223510/d943353d425.htm
0001193125-15-283781,2015-08-10,"CVR PARTNERS, LP",1425292,2870,"Rentech Nitrogen Partners, L.P.",1525998,2870,pharma_chemicals,12000000.0,unspecified,17703000.0,98958000.0,18011000.0,274135000.0,35714000.0,373093000.0,,334612000.0,,2014,2014,synergies of at least $12MM,https://www.sec.gov/Archives/edgar/data/1425292/000119312515283781/d94196dex991.htm
0001193125-15-287826,2015-08-12,"Fidelity National Information Services, Inc.",1136893,7389,SunGard,1337272,7372,software_services,200000000.0,unspecified,810500000.0,4332700000.0,667000000.0,1098000000.0,1477500000.0,5430700000.0,,2809000000.0,,2014,2014,$200 million in annual run rate synergies,https://www.sec.gov/Archives/edgar/data/1136893/000119312515287826/d77930dex992.htm
0001193125-15-302267,2015-08-26,SCHLUMBERGER LTD /NV/,87347,1389,CAMERON INTERNATIONAL CORP,941548,3533,industrial_machinery,600000000.0,unspecified,475000000.0,37398000000.0,1287000000.0,7464000000.0,1762000000.0,44862000000.0,48580000000.0,10381000000.0,58961000000.0,2014,2014,$600 million in synergies,https://www.sec.gov/Archives/edgar/data/87347/000119312515302267/d86257dex991.htm
0001193125-15-337854,2015-10-06,MICROSEMI CORP,310568,3674,PMC SIERRA INC,767920,3674,electronics,75000000.0,cost,240946000.0,526760000.0,117007000.0,155396000.0,357953000.0,682156000.0,1138263000.0,525603000.0,1663866000.0,2014,2014,$75 Million of Annual Cost Synergies,https://www.sec.gov/Archives/edgar/data/767920/000119312515337854/d39477dex991.htm
0001193125-15-349507,2015-10-21,LAM RESEARCH CORP,707549,3559,KLA TENCOR CORP,319201,3827,instruments,250000000.0,cost,591611000.0,2974976000.0,406864000.0,1215229000.0,998475000.0,4190205000.0,5259312000.0,2814049000.0,8073361000.0,2015,2015,$250 million in annualized cost synergies,https://www.sec.gov/Archives/edgar/data/319201/000119312515349507/d15654d425.htm
